avg_xAcc,avg_yAcc,avg_zAcc,avg_xGyro,avg_zGyro,STD_xAcc,STD_yAcc,STD_zAcc,STD_xGyro,STD_zGyro,Vari_xAcc,Vari_yAcc,Vari_zAcc,Vari_xGyro,Vari_zGyro,SumAbsAcc,SumAbsGyro,sumAbs_MinMax_xAcc,sumAbs_MinMax_yAcc,sumAbs_MinMax_zAcc,sumAbs_MinMax_xGyro,sumAbs_MinMax_zGyro,min_xAcc,min_yAcc,min_zAcc,min_xGyro,min_zGyro,max_xAcc,max_yAcc,max_zAcc,max_xGyro,max_zGyro,
-0.276592393,9.368751557,2.853956992,0.001989113,-0.001638357,0.101860004,0.243170106,0.701711315,0.042869186,0.011647906,0.01037546,0.0591317,0.49239877,0.001837767,1.36E-04,387.5040333,1.356103366,0.495235832,18.7296381,5.639207006,0.18414969,0.047350783,-0.482383758,8.743786812,1.413622975,-0.095294975,-0.027366763,0.012852075,9.985851288,4.22558403,0.088854715,0.01998402,1
-0.307772311,9.52683618,2.087753469,5.86E-04,-3.90E-04,0.069074938,0.162122723,0.436937494,0.047974919,0.008172786,0.004771347,0.026283777,0.190914374,0.002301593,6.68E-05,369.5932208,1.522485617,0.600551963,19.14843273,4.487710834,0.139469258,0.026057766,-0.412884861,9.285470963,1.560282111,-0.075625114,-0.011938052,-0.187667102,9.862961769,2.927428722,0.063844144,0.014119714,1
-0.303854162,9.546239115,2.08257396,0.001007787,3.30E-04,0.080313983,0.219819789,0.53983005,0.057843193,0.010085669,0.006450336,0.04832074,0.291416482,0.003345835,1.02E-04,369.9126843,1.877031781,0.58358188,19.18803215,4.55769825,0.185249247,0.03138102,-0.423275709,9.236370087,1.496768713,-0.09960594,-0.015132004,-0.160306171,9.951662064,3.060929537,0.085643306,0.016249016,1
-0.306848924,9.542983024,2.08308093,-0.001512807,6.19E-04,0.076613658,0.220215925,0.525011191,0.060146347,0.008886468,0.005869653,0.048495054,0.27563675,0.003617583,7.90E-05,369.9202992,1.91864044,0.579827756,19.18796539,4.495257497,0.179384939,0.028204521,-0.417309344,9.213261604,1.432517886,-0.105435342,-0.012479104,-0.162518412,9.974703789,3.062739611,0.073949598,0.015725417,1
-0.304262567,9.560883368,1.984140442,-0.001253259,2.59E-04,0.104656791,0.176126899,0.479184972,0.048388521,0.014476,0.010953044,0.031020684,0.229618237,0.002341449,2.10E-04,367.3278777,1.731261902,0.550618529,19.22237492,4.353846431,0.166068077,0.049497537,-0.465815902,9.283947945,1.25856483,-0.084683374,-0.022060962,-0.084802628,9.938426971,3.095281601,0.081384704,0.027436575,1
-0.320486602,9.518214564,2.15445715,-2.93E-04,-5.75E-04,0.085621363,0.182179829,0.485325393,0.049675684,0.012132089,0.007331018,0.03318949,0.235540737,0.002467674,1.47E-04,371.7879078,1.64668325,0.606422544,19.1235323,4.332250357,0.180397235,0.037768925,-0.434384793,9.285509109,1.309331417,-0.092013761,-0.018849555,-0.17203775,9.838023186,3.02291894,0.088383473,0.018919369,1
-0.31943161,9.53639858,2.095062129,0.002379841,-9.57E-06,0.091325118,0.181314926,0.470662044,0.050728228,0.010708461,0.008340277,0.032875103,0.22152276,0.002573353,1.15E-04,370.4776619,1.70393004,0.605914995,19.13789749,4.403722286,0.166678943,0.033527775,-0.440322429,9.285556793,1.470719814,-0.076532684,-0.015132004,-0.165592566,9.852340698,2.933002472,0.090146258,0.01839577,1
-0.321821486,9.531895607,2.070714466,-0.00380538,4.39E-04,0.094074035,0.205288161,0.520275866,0.053639015,0.012275336,0.008849924,0.042143229,0.270686976,0.002877144,1.51E-04,369.6573783,1.820692559,0.621132538,19.1668005,4.539942622,0.165527023,0.041503929,-0.461659551,9.181695938,1.368985295,-0.089709923,-0.021519909,-0.159472987,9.985104561,3.170957327,0.075817101,0.01998402,1
-0.314475151,9.534445455,2.09429101,1.07E-04,5.93E-04,0.093245026,0.099100995,0.253063068,0.01641135,0.008462084,0.008694635,0.009821007,0.064040916,2.69E-04,7.16E-05,370.2395601,0.590165631,0.645122424,19.20375729,4.296461821,0.085678212,0.030333822,-0.495523125,9.343266487,1.422902822,-0.045518186,-0.015132004,-0.149599299,9.860490799,2.873558998,0.040160026,0.015201817,1
-0.327441837,9.545996666,2.088368208,0.00141991,-6.41E-04,0.091547051,0.10342379,0.129671052,0.018297108,0.010232675,0.008380863,0.01069648,0.016814582,3.35E-04,1.05E-04,370.816008,0.71642275,0.68282637,18.97748756,4.17346704,0.086236719,0.032986723,-0.51399684,9.247106552,1.788689017,-0.041207224,-0.015655603,-0.16882953,9.730381012,2.384778023,0.045029495,0.01733112,1
